Segment Length,Cumulative Length,Radius
7.872,11083.661,363.072
7.841,11091.502,346.262
7.805,11099.307,332.101
7.774,11107.081,324.242
7.743,11114.824,321.637
7.716,11122.54,317.74
7.707,11130.247,317.004
7.689,11137.936,315.535
7.671,11145.607,314.069
7.649,11153.256,307.413
7.618,11160.874,301.791
7.586,11168.46,300.852
7.559,11176.019,297.204
7.533,11183.552,293.601
7.519,11191.071,291.079
7.51,11198.581,287.483
7.519,11206.1,286.734
7.519,11213.619,288.168
7.51,11221.129,284.637
7.519,11228.648,292.556
7.519,11236.167,297.08
7.524,11243.691,295.908
7.542,11251.233,298.849
7.551,11258.784,301.11
7.559,11266.343,300.268
7.573,11273.916,304.473
7.573,11281.489,306.067
7.577,11289.066,311.319
7.586,11296.652,315.409
7.6,11304.252,308.239
7.613,11311.865,310.956
7.622,11319.487,316.687
7.64,11327.127,316.483
7.649,11334.776,318.92
7.658,11342.434,326.654
7.671,11350.105,333.262
7.685,11357.79,334.428
7.694,11365.484,335.207
7.711,11373.195,340.551
7.72,11380.915,339.434
7.734,11388.649,342.528
7.743,11396.392,343.32
7.756,11404.148,354.468
7.765,11411.913,363.694
7.77,11419.683,379.847
7.778,11427.461,411.179
7.792,11435.253,442.069
7.805,11443.058,470.477
7.828,11450.886,503.703
7.846,11458.732,536.281
7.854,11466.586,561.499
7.854,11474.44,635.232
7.863,11482.303,716.263
7.872,11490.175,842.328
7.881,11498.056,1055.303
7.899,11505.955,1298.078
7.917,11513.872,1558.393
7.926,11521.798,1940.561
616.745,12138.543,0
196.148,12334.691,0
8.918,12343.609,1842.71
8.825,12352.434,1301.332
8.713,12361.147,979.536
8.641,12369.788,792.896
8.57,12378.358,712.982
8.503,12386.861,669.965
8.427,12395.288,634.953
8.351,12403.639,623.552
8.279,12411.918,646.967
8.226,12420.144,669.61
8.167,12428.311,660.182
8.118,12436.429,645.985
8.06,12444.489,591.285
8.015,12452.504,532.45
7.966,12460.47,472.192
7.917,12468.387,423.14
7.872,12476.259,389.967
7.828,12484.087,374.007
7.783,12491.87,350.84
7.738,12499.608,333.555
7.707,12507.315,329.064
7.662,12514.977,328.832
7.609,12522.586,312.235
7.573,12530.159,306.067
7.542,12537.701,305.141
7.51,12545.211,299.462
7.475,12552.686,293.558
7.461,12560.147,300.244
7.47,12567.617,304.183
7.488,12575.105,302.407
7.483,12582.588,298.883
7.475,12590.063,289.088
7.461,12597.524,274.136
7.457,12604.981,280.585
7.452,12612.433,288.828
7.448,12619.881,289.961
7.457,12627.338,293.669
7.461,12634.799,305.087
7.461,12642.26,303.455
7.466,12649.726,294.374
7.461,12657.187,292.506
7.452,12664.639,294.845
7.452,12672.091,291.805
7.443,12679.534,291.106
7.43,12686.964,288.57
7.443,12694.407,297.234
7.461,12701.868,295.553
7.483,12709.351,302.046
7.501,12716.852,310.053
7.501,12724.353,315.164
7.506,12731.859,319.046
7.519,12739.378,321.975
7.537,12746.915,318.176
7.551,12754.466,314.131
7.564,12762.03,318.694
7.573,12769.603,319.447
7.586,12777.189,318.838
7.591,12784.78,333.723
7.604,12792.384,336.817
7.622,12800.006,340.348
7.631,12807.637,343.119
7.653,12815.29,349.169
7.662,12822.952,349.985
7.667,12830.619,363.135
7.685,12838.304,385.879
7.694,12845.998,413.269
7.698,12853.696,454.191
7.707,12861.403,513.117
7.725,12869.128,568.496
7.734,12876.862,648.617
7.738,12884.6,744.396
7.756,12892.356,851.707
7.774,12900.13,993.645
7.778,12907.908,1258.711
7.805,12915.713,1634.288
63.055,12978.768,0
7.944,12986.712,1891.994
7.957,12994.669,1265.592
7.966,13002.635,898.476
7.98,13010.615,676.128
7.993,13018.608,556.638
8.015,13026.623,496.147
8.024,13034.647,462.237
8.029,13042.676,443.992
8.006,13050.682,441.523
7.962,13058.644,430.785
7.908,13066.552,400.943
7.85,13074.402,383.027
7.805,13082.207,371.874
7.761,13089.968,361.139
7.725,13097.693,357.818
7.685,13105.378,356.196
7.658,13113.036,349.577
7.627,13120.663,350.829
7.595,13128.258,343.886
7.564,13135.822,324.005
7.533,13143.355,310.964
7.497,13150.852,313.068
7.479,13158.331,306.551
7.466,13165.797,291.355
7.466,13173.263,295.907
7.466,13180.729,299.022
7.434,13188.163,287.443
7.399,13195.562,284.684
7.376,13202.938,287.365
7.358,13210.296,285.974
7.345,13217.641,284.932
7.34,13224.981,286.068
7.345,13232.326,286.416
7.349,13239.675,286.765
7.354,13247.029,284.154
7.358,13254.387,285.974
7.363,13261.75,292.381
7.376,13269.126,296.586
7.399,13276.525,299.99
7.403,13283.928,312.098
7.412,13291.34,314.61
7.425,13298.765,315.75
7.434,13306.199,304.535
7.443,13313.642,303.626
7.448,13321.09,297.591
7.452,13328.542,299.525
7.457,13335.999,304.721
7.47,13343.469,316.012
7.483,13350.952,322.524
7.501,13358.453,322.246
7.515,13365.968,325.226
7.524,13373.492,322.358
7.533,13381.025,324.94
7.546,13388.571,329.804
7.555,13396.126,336.319
7.564,13403.69,343.064
7.586,13411.276,351.294
7.604,13418.88,359.409
7.622,13426.502,365.559
7.64,13434.142,386.356
7.644,13441.786,399.788
7.662,13449.448,412.741
7.68,13457.128,442.111
7.698,13464.826,464.672
7.716,13472.542,481.654
7.729,13480.271,516.097
7.743,13488.014,593.311
7.756,13495.77,666.553
7.765,13503.535,798.239
7.778,13511.313,920.55
7.787,13519.1,1065.84
7.805,13526.905,1242.059
7.823,13534.728,1417.905
7.85,13542.578,1653.062
7.872,13550.45,1974.206
823.086,14373.536,0
8.883,14382.419,1489.449
8.784,14391.203,1008.45
8.708,14399.911,757.882
8.646,14408.557,651.255
8.574,14417.131,609.279
8.494,14425.625,583.661
8.418,14434.043,587.245
8.351,14442.394,607.563
8.288,14450.682,625.209
8.226,14458.908,589.486
8.167,14467.075,548.377
8.123,14475.198,513.408
8.074,14483.272,471.238
8.029,14491.301,438.072
7.975,14499.276,415.613
7.926,14507.202,400.241
7.881,14515.083,376.894
7.828,14522.911,361.036
7.783,14530.694,352.844
7.738,14538.432,341.008
7.694,14546.126,333.355
7.653,14553.779,326.272
7.609,14561.388,324.244
7.568,14568.956,315.621
7.533,14576.489,306.028
7.492,14583.981,301.174
7.466,14591.447,295.907
7.434,14598.881,288.917
7.425,14606.306,285.297
7.43,14613.736,293.079
7.434,14621.17,294.968
7.421,14628.591,289.36
7.416,14636.007,295.096
7.403,14643.41,286.49
7.39,14650.8,281.128
7.385,14658.185,277.98
7.381,14665.566,281.872
7.381,14672.947,280.448
7.403,14680.35,289.459
7.425,14687.775,300.553
7.439,14695.214,296.877
7.452,14702.666,306.001
7.461,14710.127,301.841
7.466,14717.593,307.104
7.479,14725.072,304.912
7.497,14732.569,304.742
7.506,14740.075,307.103
7.51,14747.585,310.793
7.51,14755.095,305.833
7.519,14762.614,300.175
7.528,14770.142,308.934
7.542,14777.684,310.036
7.555,14785.239,309.485
7.564,14792.803,320.445
7.582,14800.385,327.358
7.591,14807.976,335.63
7.6,14815.576,340.311
7.618,14823.194,352.09
7.622,14830.816,356.75
7.627,14838.443,365.988
7.64,14846.083,378.973
7.649,14853.732,402.96
7.667,14861.399,437.352
7.685,14869.084,477.755
7.702,14876.786,530.505
7.72,14884.506,584.218
7.729,14892.235,641.047
7.747,14899.982,695.246
7.761,14907.743,748.703
7.77,14915.513,809.673
7.792,14923.305,884.139
7.801,14931.106,954.336
7.819,14938.925,1056.213
7.832,14946.757,1226.088
7.859,14954.616,1464.175
7.877,14962.493,1807.039
39.581,15002.074,0
7.957,15010.031,1792.921
7.966,15017.997,1244.044
7.984,15025.981,941.754
7.998,15033.979,749.42
8.002,15041.981,604.374
8.02,15050.001,546.371
8.033,15058.034,522.095
8.06,15066.094,483.387
8.065,15074.159,476.96
8.051,15082.21,458.869
8.011,15090.221,416.678
7.989,15098.21,394.266
7.948,15106.158,385.63
7.917,15114.075,367.208
7.895,15121.97,360.988
7.872,15129.842,363.072
7.841,15137.683,346.262
7.805,15145.488,332.101
7.774,15153.262,324.242
7.743,15161.005,321.637
7.716,15168.721,317.74
7.707,15176.428,317.004
7.689,15184.117,315.535
7.671,15191.788,314.069
7.649,15199.437,307.413
7.618,15207.055,301.791
7.586,15214.641,300.852
7.559,15222.2,297.204
7.533,15229.733,293.601
7.519,15237.252,291.079
7.51,15244.762,287.483
7.519,15252.281,286.734
7.519,15259.8,288.168
7.51,15267.31,284.637
7.519,15274.829,292.556
7.519,15282.348,297.08
7.524,15289.872,295.908
7.542,15297.414,298.849
7.551,15304.965,301.11
7.559,15312.524,300.268
7.573,15320.097,304.473
7.573,15327.67,306.067
7.577,15335.247,311.319
7.586,15342.833,315.409
7.6,15350.433,308.239
7.613,15358.046,310.956
7.622,15365.668,316.687
7.64,15373.308,316.483
7.649,15380.957,318.92
7.658,15388.615,326.654
7.671,15396.286,333.262
7.685,15403.971,334.428
7.694,15411.665,335.207
7.711,15419.376,340.551
7.72,15427.096,339.434
7.734,15434.83,342.528
7.743,15442.573,343.32
7.756,15450.329,354.468
7.765,15458.094,363.694
7.77,15465.864,379.847
7.778,15473.642,411.179
7.792,15481.434,442.069
7.805,15489.239,470.477
7.828,15497.067,503.703
7.846,15504.913,536.281
7.854,15512.767,561.499
7.854,15520.621,635.232
7.863,15528.484,716.263
7.872,15536.356,842.328
7.881,15544.237,1055.303
7.899,15552.136,1298.078
7.917,15560.053,1558.393
7.926,15567.979,1940.561
616.745,16184.724,0
196.148,16380.872,0
8.918,16389.79,1842.71
8.825,16398.615,1301.332
8.713,16407.328,979.536
8.641,16415.969,792.896
8.57,16424.539,712.982
8.503,16433.042,669.965
8.427,16441.469,634.953
8.351,16449.82,623.552
8.279,16458.099,646.967
8.226,16466.325,669.61
8.167,16474.492,660.182
8.118,16482.61,645.985
8.06,16490.67,591.285
8.015,16498.685,532.45
7.966,16506.651,472.192
7.917,16514.568,423.14
7.872,16522.44,389.967
7.828,16530.268,374.007
7.783,16538.051,350.84
7.738,16545.789,333.555
7.707,16553.496,329.064
7.662,16561.158,328.832
7.609,16568.767,312.235
7.573,16576.34,306.067
7.542,16583.882,305.141
7.51,16591.392,299.462
7.475,16598.867,293.558
7.461,16606.328,300.244
7.47,16613.798,304.183
7.488,16621.286,302.407
7.483,16628.769,298.883
7.475,16636.244,289.088
7.461,16643.705,274.136
7.457,16651.162,280.585
7.452,16658.614,288.828
7.448,16666.062,289.961
7.457,16673.519,293.669
7.461,16680.98,305.087
7.461,16688.441,303.455
7.466,16695.907,294.374
7.461,16703.368,292.506
7.452,16710.82,294.845
7.452,16718.272,291.805
7.443,16725.715,291.106
7.43,16733.145,288.57
7.443,16740.588,297.234
7.461,16748.049,295.553
7.483,16755.532,302.046
7.501,16763.033,310.053
7.501,16770.534,315.164
7.506,16778.04,319.046
7.519,16785.559,321.975
7.537,16793.096,318.176
7.551,16800.647,314.131
7.564,16808.211,318.694
7.573,16815.784,319.447
7.586,16823.37,318.838
7.591,16830.961,333.723
7.604,16838.565,336.817
7.622,16846.187,340.348
7.631,16853.818,343.119
7.653,16861.471,349.169
7.662,16869.133,349.985
7.667,16876.8,363.135
7.685,16884.485,385.879
7.694,16892.179,413.269
7.698,16899.877,454.191
7.707,16907.584,513.117
7.725,16915.309,568.496
7.734,16923.043,648.617
7.738,16930.781,744.396
7.756,16938.537,851.707
7.774,16946.311,993.645
7.778,16954.089,1258.711
7.805,16961.894,1634.288
63.055,17024.949,0
7.944,17032.893,1891.994
7.957,17040.85,1265.592
7.966,17048.816,898.476
7.98,17056.796,676.128
7.993,17064.789,556.638
8.015,17072.804,496.147
8.024,17080.828,462.237
8.029,17088.857,443.992
8.006,17096.863,441.523
7.962,17104.825,430.785
7.908,17112.733,400.943
7.85,17120.583,383.027
7.805,17128.388,371.874
7.761,17136.149,361.139
7.725,17143.874,357.818
7.685,17151.559,356.196
7.658,17159.217,349.577
7.627,17166.844,350.829
7.595,17174.439,343.886
7.564,17182.003,324.005
7.533,17189.536,310.964
7.497,17197.033,313.068
7.479,17204.512,306.551
7.466,17211.978,291.355
7.466,17219.444,295.907
7.466,17226.91,299.022
7.434,17234.344,287.443
7.399,17241.743,284.684
7.376,17249.119,287.365
7.358,17256.477,285.974
7.345,17263.822,284.932
7.34,17271.162,286.068
7.345,17278.507,286.416
7.349,17285.856,286.765
7.354,17293.21,284.154
7.358,17300.568,285.974
7.363,17307.931,292.381
7.376,17315.307,296.586
7.399,17322.706,299.99
7.403,17330.109,312.098
7.412,17337.521,314.61
7.425,17344.946,315.75
7.434,17352.38,304.535
7.443,17359.823,303.626
7.448,17367.271,297.591
7.452,17374.723,299.525
7.457,17382.18,304.721
7.47,17389.65,316.012
7.483,17397.133,322.524
7.501,17404.634,322.246
7.515,17412.149,325.226
7.524,17419.673,322.358
7.533,17427.206,324.94
7.546,17434.752,329.804
7.555,17442.307,336.319
7.564,17449.871,343.064
7.586,17457.457,351.294
7.604,17465.061,359.409
7.622,17472.683,365.559
7.64,17480.323,386.356
7.644,17487.967,399.788
7.662,17495.629,412.741
7.68,17503.309,442.111
7.698,17511.007,464.672
7.716,17518.723,481.654
7.729,17526.452,516.097
7.743,17534.195,593.311
7.756,17541.951,666.553
7.765,17549.716,798.239
7.778,17557.494,920.55
7.787,17565.281,1065.84
7.805,17573.086,1242.059
7.823,17580.909,1417.905
7.85,17588.759,1653.062
7.872,17596.631,1974.206
823.086,18419.717,0
8.883,18428.6,1489.449
8.784,18437.384,1008.45
8.708,18446.092,757.882
8.646,18454.738,651.255
8.574,18463.312,609.279
8.494,18471.806,583.661
8.418,18480.224,587.245
8.351,18488.575,607.563
8.288,18496.863,625.209
8.226,18505.089,589.486
8.167,18513.256,548.377
8.123,18521.379,513.408
8.074,18529.453,471.238
8.029,18537.482,438.072
7.975,18545.457,415.613
7.926,18553.383,400.241
7.881,18561.264,376.894
7.828,18569.092,361.036
7.783,18576.875,352.844
7.738,18584.613,341.008
7.694,18592.307,333.355
7.653,18599.96,326.272
7.609,18607.569,324.244
7.568,18615.137,315.621
7.533,18622.67,306.028
7.492,18630.162,301.174
7.466,18637.628,295.907
7.434,18645.062,288.917
7.425,18652.487,285.297
7.43,18659.917,293.079
7.434,18667.351,294.968
7.421,18674.772,289.36
7.416,18682.188,295.096
7.403,18689.591,286.49
7.39,18696.981,281.128
7.385,18704.366,277.98
7.381,18711.747,281.872
7.381,18719.128,280.448
7.403,18726.531,289.459
7.425,18733.956,300.553
7.439,18741.395,296.877
7.452,18748.847,306.001
7.461,18756.308,301.841
7.466,18763.774,307.104
7.479,18771.253,304.912
7.497,18778.75,304.742
7.506,18786.256,307.103
7.51,18793.766,310.793
7.51,18801.276,305.833
7.519,18808.795,300.175
7.528,18816.323,308.934
7.542,18823.865,310.036
7.555,18831.42,309.485
7.564,18838.984,320.445
7.582,18846.566,327.358
7.591,18854.157,335.63
7.6,18861.757,340.311
7.618,18869.375,352.09
7.622,18876.997,356.75
7.627,18884.624,365.988
7.64,18892.264,378.973
7.649,18899.913,402.96
7.667,18907.58,437.352
7.685,18915.265,477.755
7.702,18922.967,530.505
7.72,18930.687,584.218
7.729,18938.416,641.047
7.747,18946.163,695.246
7.761,18953.924,748.703
7.77,18961.694,809.673
7.792,18969.486,884.139
7.801,18977.287,954.336
7.819,18985.106,1056.213
7.832,18992.938,1226.088
7.859,19000.797,1464.175
7.877,19008.674,1807.039
39.581,19048.255,0
7.957,19056.212,1792.921
7.966,19064.178,1244.044
7.984,19072.162,941.754
7.998,19080.16,749.42
8.002,19088.162,604.374
8.02,19096.182,546.371
8.033,19104.215,522.095
8.06,19112.275,483.387
8.065,19120.34,476.96
8.051,19128.391,458.869
8.011,19136.402,416.678
7.989,19144.391,394.266
7.948,19152.339,385.63
7.917,19160.256,367.208
7.895,19168.151,360.988
7.872,19176.023,363.072
7.841,19183.864,346.262
7.805,19191.669,332.101
7.774,19199.443,324.242
7.743,19207.186,321.637
7.716,19214.902,317.74
7.707,19222.609,317.004
7.689,19230.298,315.535
7.671,19237.969,314.069
7.649,19245.618,307.413
7.618,19253.236,301.791
7.586,19260.822,300.852
7.559,19268.381,297.204
7.533,19275.914,293.601
7.519,19283.433,291.079
7.51,19290.943,287.483
7.519,19298.462,286.734
7.519,19305.981,288.168
7.51,19313.491,284.637
7.519,19321.01,292.556
7.519,19328.529,297.08
7.524,19336.053,295.908
7.542,19343.595,298.849
7.551,19351.146,301.11
7.559,19358.705,300.268
7.573,19366.278,304.473
7.573,19373.851,306.067
7.577,19381.428,311.319
7.586,19389.014,315.409
7.6,19396.614,308.239
7.613,19404.227,310.956
7.622,19411.849,316.687
7.64,19419.489,316.483
7.649,19427.138,318.92
7.658,19434.796,326.654
7.671,19442.467,333.262
7.685,19450.152,334.428
7.694,19457.846,335.207
7.711,19465.557,340.551
7.72,19473.277,339.434
7.734,19481.011,342.528
7.743,19488.754,343.32
7.756,19496.51,354.468
7.765,19504.275,363.694
7.77,19512.045,379.847
7.778,19519.823,411.179
7.792,19527.615,442.069
7.805,19535.42,470.477
7.828,19543.248,503.703
7.846,19551.094,536.281
7.854,19558.948,561.499
7.854,19566.802,635.232
7.863,19574.665,716.263
7.872,19582.537,842.328
7.881,19590.418,1055.303
7.899,19598.317,1298.078
7.917,19606.234,1558.393
7.926,19614.16,1940.561
616.745,20230.905,0
196.148,20427.053,0
8.918,20435.971,1842.71
8.825,20444.796,1301.332
8.713,20453.509,979.536
8.641,20462.15,792.896
8.57,20470.72,712.982
8.503,20479.223,669.965
8.427,20487.65,634.953
8.351,20496.001,623.552
8.279,20504.28,646.967
8.226,20512.506,669.61
8.167,20520.673,660.182
8.118,20528.791,645.985
8.06,20536.851,591.285
8.015,20544.866,532.45
7.966,20552.832,472.192
7.917,20560.749,423.14
7.872,20568.621,389.967
7.828,20576.449,374.007
7.783,20584.232,350.84
7.738,20591.97,333.555
7.707,20599.677,329.064
7.662,20607.339,328.832
7.609,20614.948,312.235
7.573,20622.521,306.067
7.542,20630.063,305.141
7.51,20637.573,299.462
7.475,20645.048,293.558
7.461,20652.509,300.244
7.47,20659.979,304.183
7.488,20667.467,302.407
7.483,20674.95,298.883
7.475,20682.425,289.088
7.461,20689.886,274.136
7.457,20697.343,280.585
7.452,20704.795,288.828
7.448,20712.243,289.961
7.457,20719.7,293.669
7.461,20727.161,305.087
7.461,20734.622,303.455
7.466,20742.088,294.374
7.461,20749.549,292.506
7.452,20757.001,294.845
7.452,20764.453,291.805
7.443,20771.896,291.106
7.43,20779.326,288.57
7.443,20786.769,297.234
7.461,20794.23,295.553
7.483,20801.713,302.046
7.501,20809.214,310.053
7.501,20816.715,315.164
7.506,20824.221,319.046
7.519,20831.74,321.975
7.537,20839.277,318.176
7.551,20846.828,314.131
7.564,20854.392,318.694
7.573,20861.965,319.447
7.586,20869.551,318.838
7.591,20877.142,333.723
7.604,20884.746,336.817
7.622,20892.368,340.348
7.631,20899.999,343.119
7.653,20907.652,349.169
7.662,20915.314,349.985
7.667,20922.981,363.135
7.685,20930.666,385.879
7.694,20938.36,413.269
7.698,20946.058,454.191
7.707,20953.765,513.117
7.725,20961.49,568.496
7.734,20969.224,648.617
7.738,20976.962,744.396
7.756,20984.718,851.707
7.774,20992.492,993.645
7.778,21000.27,1258.711
7.805,21008.075,1634.288
63.055,21071.13,0
7.944,21079.074,1891.994
7.957,21087.031,1265.592
7.966,21094.997,898.476
7.98,21102.977,676.128
7.993,21110.97,556.638
8.015,21118.985,496.147
8.024,21127.009,462.237
8.029,21135.038,443.992
8.006,21143.044,441.523
7.962,21151.006,430.785
7.908,21158.914,400.943
7.85,21166.764,383.027
7.805,21174.569,371.874
7.761,21182.33,361.139
7.725,21190.055,357.818
7.685,21197.74,356.196
7.658,21205.398,349.577
7.627,21213.025,350.829
7.595,21220.62,343.886
7.564,21228.184,324.005
7.533,21235.717,310.964
7.497,21243.214,313.068
7.479,21250.693,306.551
7.466,21258.159,291.355
7.466,21265.625,295.907
7.466,21273.091,299.022
7.434,21280.525,287.443
7.399,21287.924,284.684
7.376,21295.3,287.365
7.358,21302.658,285.974
7.345,21310.003,284.932
7.34,21317.343,286.068
7.345,21324.688,286.416
7.349,21332.037,286.765
7.354,21339.391,284.154
7.358,21346.749,285.974
7.363,21354.112,292.381
7.376,21361.488,296.586
7.399,21368.887,299.99
7.403,21376.29,312.098
7.412,21383.702,314.61
7.425,21391.127,315.75
7.434,21398.561,304.535
7.443,21406.004,303.626
7.448,21413.452,297.591
7.452,21420.904,299.525
7.457,21428.361,304.721
7.47,21435.831,316.012
7.483,21443.314,322.524
7.501,21450.815,322.246
7.515,21458.33,325.226
7.524,21465.854,322.358
7.533,21473.387,324.94
7.546,21480.933,329.804
7.555,21488.488,336.319
7.564,21496.052,343.064
7.586,21503.638,351.294
7.604,21511.242,359.409
7.622,21518.864,365.559
7.64,21526.504,386.356
7.644,21534.148,399.788
7.662,21541.81,412.741
7.68,21549.49,442.111
7.698,21557.188,464.672
7.716,21564.904,481.654
7.729,21572.633,516.097
7.743,21580.376,593.311
7.756,21588.132,666.553
7.765,21595.897,798.239
7.778,21603.675,920.55
7.787,21611.462,1065.84
7.805,21619.267,1242.059
7.823,21627.09,1417.905
7.85,21634.94,1653.062
7.872,21642.812,1974.206
823.086,22465.898,0
